Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
2.009922,-0.1284472,0.0005622637,0.004844298,-0.000742171,0.01802994,-0.0217626
2.026704,-0.1284608,0.0005595543,0.004850634,-0.0007428154,0.01803235,-0.0217659
2.043216,-0.1284424,0.0005615811,0.004848603,-0.0007427484,0.01803029,-0.02176256
2.060016,-0.1284259,0.0005722346,0.004852215,-0.0007418282,0.01802801,-0.02175915
2.076659,-0.1284362,0.0005675093,0.004855217,-0.0007426292,0.01802896,-0.02176084
2.093249,-0.1284566,0.0005734369,0.004862003,-0.0007434599,0.01803162,-0.0217649
2.109866,-0.1284434,0.0005749993,0.004864367,-0.0007437021,0.01803013,-0.02176249
2.126654,-0.1284279,0.0005741806,0.004857244,-0.0007425062,0.01802831,-0.02175958
2.143211,-0.1284436,0.0005778555,0.00485527,-0.0007414557,0.01802993,-0.02176231
2.159943,-0.1284644,0.0005874043,0.004857477,-0.0007409193,0.01803247,-0.02176627
2.176599,-0.1284584,0.0005867004,0.00485598,-0.0007405356,0.0180321,-0.02176546
2.193319,-0.1284457,0.0005912632,0.004855123,-0.0007396042,0.01803033,-0.02176283
2.209958,-0.1284472,0.0005873265,0.004857986,-0.0007406883,0.01803051,-0.02176311
2.226614,-0.1284684,0.0005927216,0.004859914,-0.0007402711,0.01803311,-0.02176717
2.243292,-0.128472,0.0005854503,0.004857301,-0.000740651,0.01803363,-0.02176794
2.259931,-0.1284492,0.0005788566,0.004856314,-0.0007417016,0.01803099,-0.02176373
2.2766,-0.1284431,0.0005655278,0.004849957,-0.0007423423,0.01802994,-0.02176228
2.293249,-0.1284582,0.0005614934,0.004855594,-0.000743933,0.0180315,-0.02176492
2.309946,-0.1284709,0.0005658159,0.004857308,-0.0007435791,0.01803335,-0.02176762
2.326592,-0.1284564,0.0005654002,0.004857633,-0.0007438622,0.01803151,-0.02176479
2.343242,-0.1284408,0.0005671102,0.004846397,-0.0007417984,0.01803,-0.02176215
2.360037,-0.1284509,0.0005728208,0.00484646,-0.0007407628,0.01803067,-0.02176355
2.376595,-0.1284657,0.0005718681,0.004847072,-0.0007411242,0.01803266,-0.02176655
2.393224,-0.1284623,0.0005737119,0.004849809,-0.000741329,0.01803239,-0.02176604
2.409954,-0.128435,0.0005786082,0.004855986,-0.000741452,0.0180292,-0.02176096
2.426589,-0.1284398,0.000577796,0.004853356,-0.0007412434,0.01802949,-0.0217616
2.443303,-0.1284555,0.0005852708,0.004855692,-0.0007406808,0.01803174,-0.0217649
2.459895,-0.1284579,0.0005907015,0.004857642,-0.0007394403,0.01803217,-0.02176547
2.476607,-0.1284435,0.0005928623,0.004853443,-0.0007398091,0.01803045,-0.02176277
2.493253,-0.1284511,0.0006003118,0.004849586,-0.0007375553,0.01803084,-0.0217637
2.509946,-0.1284728,0.0005985988,0.004847083,-0.0007372573,0.01803364,-0.02176798
2.526697,-0.1284701,0.0005997391,0.004843267,-0.0007364042,0.01803344,-0.02176758
2.543326,-0.1284472,0.0005859301,0.004852779,-0.0007390305,0.01803068,-0.02176327
2.5599,-0.128451,0.0005913572,0.004850852,-0.0007387921,0.01803078,-0.02176365
2.576602,-0.1284667,0.0005858989,0.004852422,-0.0007397868,0.01803285,-0.0217668
2.593226,-0.1284737,0.0005897357,0.004859956,-0.0007403344,0.01803392,-0.02176833
2.609924,-0.1284619,0.0006054934,0.004854565,-0.0007375181,0.01803227,-0.02176587
